2019-07-28 05:03:14,b'RT @GrittyUrbanSaga: WE ARE BACK LIVE! Classic Historical Battles! POWER IS FIXED! Join US! #WWE #TeamGritty #CHB https://t.co/5dBFOhwnLu'
2019-07-28 05:03:03,"b""RT @WWE: Don't miss your chance to win a VIP trip for two to #SummerSlam and see your favorite #WWE Superstars like @BeckyLynchWWE.   Take\xe2\x80\xa6"""
2019-07-28 05:02:37,"b""RT @WWE: Don't miss your chance to win a VIP trip for two to #SummerSlam and see your favorite #WWE Superstars like @BeckyLynchWWE.   Take\xe2\x80\xa6"""
2019-07-28 05:02:30,b'RT @GrittyUrbanSaga: MAJOR POWER OUTAGE FIXED! \xf0\x9f\x94\xb4CLASSIC HISTORICAL BATTLES! Episode 6 #WWE #RAW #Wrestling #TeamGritty https://t.co/mbo9UlA\xe2\x80\xa6'
2019-07-28 05:02:30,b'RT @RonKillings: Layin Low in #NashDown #WWE #raw #smackdown #thatzendurance #dancebreak #rtruth #ronkillings #24/7title #48/7champ https:/\xe2\x80\xa6'
2019-07-28 05:02:29,"b'RT @RealRonHoward: @thehill a reminder that our #Potus is a reality tv veteran who reduces political discourse to #WWE rhetoric   And, sadl\xe2\x80\xa6'"
2019-07-28 05:02:25,b'RT @GrittyUrbanSaga: WE ARE BACK LIVE! Classic Historical Battles! POWER IS FIXED! Join US! #WWE #TeamGritty #CHB https://t.co/5dBFOhwnLu'
2019-07-28 05:02:17,"b""@WWE_MandyRose Don't know if the ring could handle so much natural beauty at one time. #WWE"""
2019-07-28 05:02:13,b'RT @RonKillings: Layin Low in #NashDown #WWE #raw #smackdown #thatzendurance #dancebreak #rtruth #ronkillings #24/7title #48/7champ https:/\xe2\x80\xa6'
2019-07-28 05:01:51,"b""RT @WWE: Don't miss your chance to win a VIP trip for two to #SummerSlam and see your favorite #WWE Superstars like @BeckyLynchWWE.   Take\xe2\x80\xa6"""
2019-07-28 05:01:51,"b""RT @WWE: Don't miss your chance to win a VIP trip for two to #SummerSlam and see your favorite #WWE Superstars like @BeckyLynchWWE.   Take\xe2\x80\xa6"""
2019-07-28 05:01:36,"b""RT @WWE: Don't miss your chance to win a VIP trip for two to #SummerSlam and see your favorite #WWE Superstars like @BeckyLynchWWE.   Take\xe2\x80\xa6"""
2019-07-28 05:00:58,b'Hey guys make sure to check out my YouTube https://t.co/YFYGYytO0V to see what you may have missed! Yugioh graded c\xe2\x80\xa6 https://t.co/QqhSAshO6A'
2019-07-28 05:00:48,b'@MattBoone1984 @BlessedMMA @FrankieEdgar @brucebuffer @mmanews_com @ewrestlingcom @RogersPlace @ufc @espnmma\xe2\x80\xa6 https://t.co/x3DaVOXKTT'
2019-07-28 05:00:44,"b""RT @WWE: Don't miss your chance to win a VIP trip for two to #SummerSlam and see your favorite #WWE Superstars like @BeckyLynchWWE.   Take\xe2\x80\xa6"""
2019-07-28 05:00:35,"b""RT @WWE: Don't miss your chance to win a VIP trip for two to #SummerSlam and see your favorite #WWE Superstars like @BeckyLynchWWE.   Take\xe2\x80\xa6"""
2019-07-28 05:00:27,"b""RT @WWE: Don't miss your chance to win a VIP trip for two to #SummerSlam and see your favorite #WWE Superstars like @BeckyLynchWWE.   Take\xe2\x80\xa6"""
2019-07-28 05:00:24,b'RT @RonKillings: Layin Low in #NashDown #WWE #raw #smackdown #thatzendurance #dancebreak #rtruth #ronkillings #24/7title #48/7champ https:/\xe2\x80\xa6'
